iter	MultiClass
0	1.087166948
1	1.076414864
2	1.068283081
3	1.06009639
4	1.052824378
5	1.045841776
6	1.040124813
7	1.035023701
8	1.029849765
9	1.025453653
10	1.02121001
11	1.017349202
12	1.014172395
13	1.011548362
14	1.009118338
15	1.006847062
16	1.004315347
17	1.002551944
18	1.000587677
19	0.9988813241
20	0.997212042
21	0.995769014
22	0.9943054944
23	0.9928973123
24	0.9917933589
25	0.9906030961
26	0.9895284689
27	0.98854229
28	0.9876084445
29	0.986987828
30	0.9861054493
31	0.9852200867
32	0.9842765934
33	0.9835917608
34	0.983070748
35	0.982482335
36	0.9817781524
37	0.981083294
38	0.9805704851
39	0.9801364063
40	0.9796332523
41	0.9791629382
42	0.9788395247
43	0.9784659727
44	0.9780925977
45	0.9776792443
46	0.9773635136
47	0.9769627824
48	0.976542077
49	0.9762418096
50	0.9760778983
51	0.9757984156
52	0.9754947421
53	0.9750473497
54	0.9748533444
55	0.9745729133
56	0.9742744175
57	0.9739556855
58	0.9736625647
59	0.9734183739
60	0.9732638734
61	0.9729122627
62	0.9726431132
63	0.9724136931
64	0.9721949227
65	0.9719301555
66	0.9718160864
67	0.9716416994
68	0.9714037582
69	0.9712694518
70	0.9709793857
71	0.9708570757
72	0.9705754809
73	0.9703304462
74	0.9701660175
75	0.9700132237
76	0.9698986415
77	0.9697405998
78	0.9695824304
79	0.9694227928
80	0.9691811275
81	0.9689314547
82	0.968752457
83	0.9685514548
84	0.9684253513
85	0.9682405536
86	0.9680746575
87	0.9678628434
88	0.9677121993
89	0.9675150693
90	0.9674163657
91	0.9672734195
92	0.967121708
93	0.9669970796
94	0.9668792639
95	0.9667966889
96	0.966712416
97	0.9665725795
98	0.9664916508
99	0.9663248219
100	0.9662682417
101	0.9661085737
102	0.9659897116
103	0.9658279339
104	0.9656397372
105	0.9654866813
106	0.9653479022
107	0.9652201373
108	0.9650868097
109	0.9650274727
110	0.9649186109
111	0.964708602
112	0.9646203105
113	0.9645001408
114	0.9644250953
115	0.9642763226
116	0.9641132632
117	0.9639833629
118	0.9639591419
119	0.9638197021
120	0.963728753
121	0.9636517247
122	0.9634856032
123	0.9633934202
124	0.96327265
125	0.9631754647
126	0.9630773181
127	0.9630000071
128	0.9628725692
129	0.9627354512
130	0.9626167633
131	0.9624696001
132	0.9624506243
133	0.9622112246
134	0.9621710807
135	0.9620905657
136	0.9619693945
137	0.961793389
138	0.9617396547
139	0.9615743686
140	0.9614062706
141	0.9612500141
142	0.9610615311
143	0.9609830578
144	0.9608285986
145	0.9606932464
146	0.9605954715
147	0.9603978186
148	0.96029299
149	0.9602045936
150	0.959908505
151	0.959783322
152	0.9596703235
153	0.9593839156
154	0.9593281506
155	0.9591848042
156	0.9590286975
157	0.9588199191
158	0.9586097411
159	0.9584101078
160	0.9582933685
161	0.958169372
162	0.9581256397
163	0.9580044948
164	0.9578044599
165	0.9576385056
166	0.9576085761
167	0.9574635812
168	0.957314621
169	0.9572196596
170	0.9570387093
171	0.9568847868
172	0.9567335023
173	0.9565857035
174	0.9564478599
175	0.9562833573
176	0.9561552712
177	0.9560388514
178	0.9559126284
179	0.9557867147
180	0.9555404401
181	0.955360614
182	0.9552073346
183	0.9550217163
184	0.9548457532
185	0.9546868563
186	0.9544464401
187	0.9543322864
188	0.9542460317
189	0.9540957863
190	0.9540333727
191	0.9538554519
192	0.9536622449
193	0.953516638
194	0.9534319817
195	0.9533535285
196	0.9532004707
197	0.9530095054
198	0.9529703302
199	0.9528180038
200	0.9527510865
201	0.9526206363
202	0.952489314
203	0.9523196859
204	0.9522733763
205	0.9521023195
206	0.9519153598
207	0.9518259219
208	0.9517281028
209	0.9514800231
210	0.951236155
211	0.9510233876
212	0.9508571572
213	0.9507503179
214	0.9506638637
215	0.9504510403
216	0.950280547
217	0.9501884474
218	0.9500755776
219	0.9499942508
220	0.9498029658
221	0.9496008863
222	0.9495044504
223	0.9493434933
224	0.9491485186
225	0.9490334929
226	0.9489083712
227	0.9487510851
228	0.948596466
229	0.948493988
230	0.9483885889
231	0.9482883376
232	0.9480943099
233	0.94791059
234	0.9478341859
235	0.9477312027
236	0.9475615556
237	0.9474194862
238	0.9472480455
239	0.9470801853
240	0.9469245482
241	0.9468138494
242	0.9466831137
243	0.9465746776
244	0.9463479416
245	0.9462228748
246	0.9459850804
247	0.9457442668
248	0.9456814669
249	0.945477574
250	0.9453013306
251	0.9451397882
252	0.9450229954
253	0.9449065061
254	0.9447510502
255	0.9446770795
256	0.9446168322
257	0.9445676202
258	0.9444764871
259	0.9442507655
260	0.9441641208
261	0.9439679828
262	0.9439176565
263	0.9437773457
264	0.9437033826
265	0.9435430309
266	0.9433741024
267	0.9432064254
268	0.9431717502
269	0.9429675634
270	0.9428747704
271	0.942787966
272	0.9425687635
273	0.9424368578
